点名,评论数,均价,口味,环境,服务,地址,电话,
和欢食尚坊港式牛腩牛杂火锅(东门南路店),109,32,7.5,7.6,7.6, 东门南路天俊大厦裙楼1层11-A铺(链家地产隔壁) ,13392898240,
秦味儿西安手工面(车公庙店),条评论,元,.,.,., 然汇 ,1,
杭州昌记小笼包,83,13,7.4,7.1,7.2, 蛇口新街号 ,18002555726,
城森肠粉店(翻身店),340,21,7.7,6.8,7.2, 顺丰路翻身村五二队-号(近创业天虹) ,15994760105,
电白鸭粥,条评论,元,.,.,0.1, 桃1 ,1,
福客FOOOK麻辣烫(华强北九方店),335,35,7.5,7.6,7.5, 振中路九方购物中心负一楼11号铺位 ,13823651751,
老班长手工灌汤包(8号仓店),102,42,7.3,7.6,7.2, 民康路1号号仓 ,0755-86937713,
福客FOOOK麻辣烫(卓悦汇店),510,31,7.8,7.7,7.6, 上梅林中康路与梅林路交叉口东北角卓悦汇B层 ,15814016199,
一一妈卜卜贝火锅·串串香小吃馆(泛海城市广场店),1,元,.,.,., 泛拉菲期1栋裙11-1(丽对面) ,111,
刘罗锅生煎包(盐田旗舰店),11,元,.,.,., 壹景1(星巴克旁) ,1,
麦当劳(大和路DT店),83,26,8.4,8.4,8.5, 观澜街道大和路西侧中航格澜花园1栋1-1、-号商铺 ,0755-29506900,
永和大王(莲花路店),条评论,元,.,.,., 莲莲11医院外科住院负 ,-,
煎饼志(上梅林店),100,23,7.2,7.7,7.7, 中康路号 ,添加,
麦当劳(侨城西街店),114,27,7.4,7.5,7.5, 侨城西街华侨城购物中心C区1楼(工商银行隔壁) ,0755-26729251,
里巷生煎(星河雅宝店),66,25,7.5,7.7,7.8, 五和大道星河cocopark负一楼 ,0755-28918067,
大家乐(中信店),559,37,7.5,7.7,7.5, 深南中路中信广场商业楼-1层L1-1-1A-11号铺(近许留山、麦当劳) ,0755-25571986,
面道馆(中心书城店),1,元,.,.,., 少宫e出口 ,1,
香港老字号云吞王,145,22,7.4,6.6,7, 沙头角田心市场西二号(-11便利店后) ,0755-25558033,
蛋到捣蛋,28,19,7.6,7.5,7.9, 荔园路号 ,15141484441,
广记餐厅,1,1,.,.,.,11,-,
